Industry Sector,NAICS Sector_2017,Average Employment_2017,Estblishments_2017,Payroll_2017,Average Monthly Wage_2017,NAICS Sector_2018,Average Employment_2018,Estblishments_2018,Payroll_2018,Average Monthly Wage_2018,NAICS Sector_2019,Average Employment_2019,Estblishments_2019,Payroll_2019,Average Monthly Wage_2019,NAICS Sector_2020,Average Employment_2020,Estblishments_2020,Payroll_2020,Average Monthly Wage_2020,NAICS Sector_2021,Average Employment_2021,Estblishments_2021,Payroll_2021,Average Monthly Wage_2021
"Agriculture, Forestry, Fishing & Hunting",11.0,4317.0,425.0,143233985.0,2765.0,11,4359,401,154962587,2963,11,4465,418,166298689,3104,11,4658,457,181089010,3240,11,4723,482,182945139,3228
Mining,21.0,8619.0,551.0,660290279.0,6384.0,21,9471,548,732794165,6448,21,9358,560,756452488,6736,21,8660,557,737158365,7094,21,8822,544,734783451,6941
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Construction,23.0,98686.0,10955.0,4847802272.0,4094.0,23,105535,11643,5386215008,4253,23,110745,12281,5912492150,4449,23,116661,13012,6697376794,4784,23,123605,13895,7457881054,5028
Manufacturing (31-33),31.0,129231.0,4251.0,7303308080.0,4709.0,31,132987,4390,7686603635,4817,31,136893,4551,8106954556,4935,31,136413,4622,8399961354,5131,31,145621,4893,9513723329,5444
Wholesale Trade,42.0,50828.0,6069.0,3363077459.0,5514.0,42,50973,6185,3512155150,5742,42,52247,6243,3711377661,5920,42,53117,6411,3971315400,6231,42,55457,6623,4431730858,6659
Retail Trade (44 & 45),44.0,168713.0,10145.0,5380134677.0,2657.0,44,173192,10448,5788565878,2785,44,174090,10816,6035004315,2889,44,171296,11028,6586468576,3204,44,182715,11246,7424867499,3386
Transportation and Warehousing (48 & 49),48.0,67633.0,2917.0,3299212641.0,4065.0,48,71045,3013,3604995145,4229,48,73627,3115,3824569105,4329,48,75335,3218,4051314232,4481,48,77849,3403,4273141207,4574
Information,51.0,17806.0,1185.0,906186743.0,4241.0,51,17513,1250,939241140,4469,51,17055,1372,1047908113,5120,51,15674,1497,1183604801,6293,51,17171,1742,1364398139,6622
Finance and Insurance,52.0,65085.0,5809.0,4537797204.0,5810.0,52,67524,5959,4953184609,6113,52,68974,6088,5304018991,6408,52,72143,6355,6270488309,7243,52,75201,6965,7124329325,7895
Real Estate and Rental and Leasing,53.0,19725.0,5275.0,958602509.0,4050.0,53,20773,5579,1048340262,4206,53,21819,5816,1139939170,4354,53,21943,6252,1227596461,4662,53,23003,6680,1404474895,5088
Professiona.l Scientific & Technical Svc,54.0,96233.0,15226.0,6784456269.0,5875.0,54,105050,16025,7771185465,6165,54,109824,17077,8594343946,6521,54,113258,18122,9601505430,7065,54,119941,20472,10707876578,7440
Management of Companies and Enterprises,55.0,20071.0,811.0,1701675311.0,7065.0,55,19848,885,1760907375,7393,55,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
"Admin., Support, Waste Mgmt, Remediation",56.0,91658.0,5949.0,3255740075.0,2960.0,56,93765,6212,3405037297,3026,56,94984,6529,3708957868,3254,56,92314,6906,3837754951,3464,56,95025,7536,4283974371,3757
Education Services,61.0,165938.0,2658.0,5931055019.0,2979.0,61,169018,2747,6336627847,3124,61,172890,2848,6791639004,3274,61,166351,2968,7225438371,3620,61,169245,3150,7765032981,3823
Health Care and Social Assistance,62.0,170189.0,10297.0,7512680024.0,3679.0,62,174351,10834,7877712455,3765,62,179929,11333,8341446331,3863,62,180222,11829,8784154328,4062,62,186469,12519,9526523162,4257
"Arts, Entertainment, and Recreation",71.0,31448.0,1442.0,788777510.0,2090.0,71,32319,1510,827213940,2133,71,33695,1572,885789724,2191,71,27444,1665,800072656,2429,71,32259,1765,933826439,2412
Accommodation and Food Services,72.0,118888.0,5790.0,2126179788.0,1490.0,72,123881,6047,2289159120,1540,72,128002,6180,2468619458,1607,72,113017,6290,2219814498,1637,72,123693,6440,2713139437,1828
Other Services (except Public Admin.),81.0,40731.0,5425.0,1388861821.0,2842.0,81,41692,5652,1468295770,2935,81,42811,5799,1573732541,3063,81,40572,6037,1565638726,3216,81,42986,6348,1749878882,3392
Public Administration,92.0,79402.0,1638.0,4113759905.0,4317.0,92,80351,2052,4331500040,4492,92,82230,2041,4532183680,4593,92,83420,2018,4812378849,4807,92,84829,2047,5024170730,4936
Unclassified establishments,99.0,9.0,19.0,339041.0,3139.0,99,63,75,5223118,6882,99,113,133,10874101,8055,99,19,52,1575326,7001,99,110,112,8500312,6440
