Industry Sector,NAICS Sector_2017,Average Employment_2017,Estblishments_2017,Payroll_2017,Average Monthly Wage_2017,NAICS Sector_2018,Average Employment_2018,Estblishments_2018,Payroll_2018,Average Monthly Wage_2018,NAICS Sector_2019,Average Employment_2019,Estblishments_2019,Payroll_2019,Average Monthly Wage_2019,NAICS Sector_2020,Average Employment_2020,Estblishments_2020,Payroll_2020,Average Monthly Wage_2020,NAICS Sector_2021,Average Employment_2021,Estblishments_2021,Payroll_2021,Average Monthly Wage_2021
"Agriculture, Forestry, Fishing & Hunting",11.0,4317.0,425.0,143233985.0,2765.0,11,4359,401,154962587,2963,11,4465,418,166298689,3104,11,4658,457,181089010,3240,11,4723,482,182945139,3228
Crop Production,111.0,825.0,97.0,20736031.0,2094.0,111,846,91,25046082,2466,111,928,93,29463612,2647,111,988,110,29888721,2522,111,920,110,28448921,2577
Animal Production and Aquaculture,112.0,2662.0,222.0,87322697.0,2733.0,112,2607,212,89199730,2851,112,2622,217,94371683,2999,112,2669,227,102689744,3206,112,2775,245,107142829,3218
Forestry and Logging,113.0,26.0,5.0,1007647.0,3293.0,113,25,5,1119308,3731,113,24,6,997523,3428,113,34,6,1413075,3438,113,28,8,1093942,3315
"Fishing, Hunting and Trapping",114.0,182.0,10.0,11945619.0,5485.0,114,167,10,13086656,6521,114,180,10,14474445,6710,114,180,10,16556869,7687,114,189,11,13932714,6135
Support Activities for Agriculture and Forestry,115.0,622.0,92.0,22221991.0,2977.0,115,713,84,26510811,3099,115,711,93,26991426,3162,115,787,104,30540601,3235,115,811,109,32326733,3323
Mining,21.0,8619.0,551.0,660290279.0,6384.0,21,9471,548,732794165,6448,21,9358,560,756452488,6736,21,8660,557,737158365,7094,21,8822,544,734783451,6941
Oil and Gas Extraction,211.0,1243.0,55.0,123367620.0,8272.0,211,1217,58,120257568,8236,211,1175,52,120998053,8585,211,910,52,121238317,11109,211,783,51,79364693,8452
Mining (except Oil and Gas),212.0,4153.0,98.0,294560862.0,5911.0,212,4840,99,359060512,6182,212,4845,107,379780830,6532,212,4904,112,390559944,6637,212,5010,120,404742211,6733
Support Activities for Mining,213.0,3224.0,399.0,242361797.0,6265.0,213,3414,391,253476085,6187,213,3339,401,255673605,6382,213,2847,393,225360104,6597,213,3030,374,250676547,6894
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,22.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,22,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,22,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,22,6095,393,556552043,7610,221,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,22,6004,406,538212330,7470
Utilities,221.0,6220.0,383.0,513384077.0,6878.0,221,6268,384,543382517,7224,221,6205,387,562461619,7554,221,6095,393,556552043,7610,221,6004,406,538212330,7470
